date,hour,n
2024.01.22,N1,24
2024.01.22,N2,25
2024.01.22,N3,43
2024.01.22,N4,52
2024.01.22,N5,63
2024.01.22,PB,21
2024.01.20,N1,16
2024.01.20,N2,31
2024.01.20,N3,34
2024.01.20,N4,47
2024.01.20,N5,65
2024.01.20,PB,10
2024.01.17,N1,18
2024.01.17,N2,22
2024.01.17,N3,43
2024.01.17,N4,61
2024.01.17,N5,65
2024.01.17,PB,2
2024.01.15,N1,13
2024.01.15,N2,30
2024.01.15,N3,35
2024.01.15,N4,49
2024.01.15,N5,59
2024.01.15,PB,4
2024.01.13,N1,13
2024.01.13,N2,31
2024.01.13,N3,33
2024.01.13,N4,51
2024.01.13,N5,58
2024.01.13,PB,15
2024.01.10,N1,25
2024.01.10,N2,40
2024.01.10,N3,43
2024.01.10,N4,48
2024.01.10,N5,50
2024.01.10,PB,11
2024.01.08,N1,7
2024.01.08,N2,17
2024.01.08,N3,28
2024.01.08,N4,40
2024.01.08,N5,45
2024.01.08,PB,2
2024.01.06,N1,4
2024.01.06,N2,31
2024.01.06,N3,34
2024.01.06,N4,38
2024.01.06,N5,61
2024.01.06,PB,13
2024.01.03,N1,30
2024.01.03,N2,31
2024.01.03,N3,38
2024.01.03,N4,48
2024.01.03,N5,68
2024.01.03,PB,8
2024.01.01,N1,12
2024.01.01,N2,21
2024.01.01,N3,42
2024.01.01,N4,44
2024.01.01,N5,49
2024.01.01,PB,1
2023.12.30,N1,10
2023.12.30,N2,11
2023.12.30,N3,26
2023.12.30,N4,27
2023.12.30,N5,34
2023.12.30,PB,7
2023.12.27,N1,4
2023.12.27,N2,11
2023.12.27,N3,38
2023.12.27,N4,51
2023.12.27,N5,68
2023.12.27,PB,5
2023.12.25,N1,5
2023.12.25,N2,12
2023.12.25,N3,20
2023.12.25,N4,24
2023.12.25,N5,29
2023.12.25,PB,4
2023.12.23,N1,9
2023.12.23,N2,14
2023.12.23,N3,17
2023.12.23,N4,18
2023.12.23,N5,53
2023.12.23,PB,6
2023.12.20,N1,27
2023.12.20,N2,35
2023.12.20,N3,41
2023.12.20,N4,56
2023.12.20,N5,60
2023.12.20,PB,16
2023.12.18,N1,5
2023.12.18,N2,8
2023.12.18,N3,19
2023.12.18,N4,34
2023.12.18,N5,39
2023.12.18,PB,26
2023.12.16,N1,3
2023.12.16,N2,9
2023.12.16,N3,10
2023.12.16,N4,20
2023.12.16,N5,62
2023.12.16,PB,25
2023.12.13,N1,3
2023.12.13,N2,8
2023.12.13,N3,41
2023.12.13,N4,56
2023.12.13,N5,64
2023.12.13,PB,18
2023.12.11,N1,1
2023.12.11,N2,24
2023.12.11,N3,27
2023.12.11,N4,31
2023.12.11,N5,62
2023.12.11,PB,20
2023.12.09,N1,5
2023.12.09,N2,25
2023.12.09,N3,26
2023.12.09,N4,40
2023.12.09,N5,60
2023.12.09,PB,1
2023.12.06,N1,2
2023.12.06,N2,12
2023.12.06,N3,37
2023.12.06,N4,56
2023.12.06,N5,65
2023.12.06,PB,21
2023.12.04,N1,18
2023.12.04,N2,19
2023.12.04,N3,27
2023.12.04,N4,28
2023.12.04,N5,45
2023.12.04,PB,9
2023.12.02,N1,28
2023.12.02,N2,35
2023.12.02,N3,41
2023.12.02,N4,47
2023.12.02,N5,60
2023.12.02,PB,3
2023.11.29,N1,6
2023.11.29,N2,47
2023.11.29,N3,50
2023.11.29,N4,61
2023.11.29,N5,68
2023.11.29,PB,4
2023.11.27,N1,2
2023.11.27,N2,21
2023.11.27,N3,38
2023.11.27,N4,61
2023.11.27,N5,66
2023.11.27,PB,12
2023.11.25,N1,27
2023.11.25,N2,33
2023.11.25,N3,63
2023.11.25,N4,66
2023.11.25,N5,68
2023.11.25,PB,9
2023.11.22,N1,20
2023.11.22,N2,24
2023.11.22,N3,33
2023.11.22,N4,39
2023.11.22,N5,42
2023.11.22,PB,21
2023.11.20,N1,19
2023.11.20,N2,26
2023.11.20,N3,30
2023.11.20,N4,39
2023.11.20,N5,63
2023.11.20,PB,13
2023.11.18,N1,34
2023.11.18,N2,50
2023.11.18,N3,51
2023.11.18,N4,61
2023.11.18,N5,67
2023.11.18,PB,20
2023.11.15,N1,3
2023.11.15,N2,4
2023.11.15,N3,51
2023.11.15,N4,53
2023.11.15,N5,60
2023.11.15,PB,6
2023.11.13,N1,24
2023.11.13,N2,33
2023.11.13,N3,35
2023.11.13,N4,37
2023.11.13,N5,42
2023.11.13,PB,21
2023.11.11,N1,1
2023.11.11,N2,12
2023.11.11,N3,14
2023.11.11,N4,24
2023.11.11,N5,57
2023.11.11,PB,7
2023.11.08,N1,14
2023.11.08,N2,21
2023.11.08,N3,33
2023.11.08,N4,39
2023.11.08,N5,62
2023.11.08,PB,20
2023.11.06,N1,12
2023.11.06,N2,25
2023.11.06,N3,40
2023.11.06,N4,59
2023.11.06,N5,61
2023.11.06,PB,26
2023.11.04,N1,1
2023.11.04,N2,28
2023.11.04,N3,30
2023.11.04,N4,34
2023.11.04,N5,52
2023.11.04,PB,6
2023.11.01,N1,22
2023.11.01,N2,26
2023.11.01,N3,39
2023.11.01,N4,47
2023.11.01,N5,63
2023.11.01,PB,12
2023.10.30,N1,19
2023.10.30,N2,22
2023.10.30,N3,34
2023.10.30,N4,66
2023.10.30,N5,69
2023.10.30,PB,5
2023.10.28,N1,14
2023.10.28,N2,24
2023.10.28,N3,50
2023.10.28,N4,59
2023.10.28,N5,64
2023.10.28,PB,2
2023.10.25,N1,25
2023.10.25,N2,27
2023.10.25,N3,41
2023.10.25,N4,53
2023.10.25,N5,68
2023.10.25,PB,2
2023.10.23,N1,18
2023.10.23,N2,21
2023.10.23,N3,25
2023.10.23,N4,46
2023.10.23,N5,64
2023.10.23,PB,21
2023.10.21,N1,6
2023.10.21,N2,15
2023.10.21,N3,24
2023.10.21,N4,67
2023.10.21,N5,68
2023.10.21,PB,11
2023.10.18,N1,1
2023.10.18,N2,4
2023.10.18,N3,13
2023.10.18,N4,35
2023.10.18,N5,58
2023.10.18,PB,24
2023.10.16,N1,2
2023.10.16,N2,27
2023.10.16,N3,31
2023.10.16,N4,44
2023.10.16,N5,64
2023.10.16,PB,18
2023.10.14,N1,14
2023.10.14,N2,16
2023.10.14,N3,42
2023.10.14,N4,48
2023.10.14,N5,64
2023.10.14,PB,14
2023.10.11,N1,22
2023.10.11,N2,24
2023.10.11,N3,40
2023.10.11,N4,52
2023.10.11,N5,64
2023.10.11,PB,10
2023.10.09,N1,16
2023.10.09,N2,34
2023.10.09,N3,46
2023.10.09,N4,55
2023.10.09,N5,67
2023.10.09,PB,14
2023.10.07,N1,47
2023.10.07,N2,54
2023.10.07,N3,57
2023.10.07,N4,60
2023.10.07,N5,65
2023.10.07,PB,19
2023.10.04,N1,9
2023.10.04,N2,35
2023.10.04,N3,54
2023.10.04,N4,63
2023.10.04,N5,64
2023.10.04,PB,1
2023.10.02,N1,12
2023.10.02,N2,26
2023.10.02,N3,27
2023.10.02,N4,43
2023.10.02,N5,47
2023.10.02,PB,5
2023.09.30,N1,19
2023.09.30,N2,30
2023.09.30,N3,37
2023.09.30,N4,44
2023.09.30,N5,46
2023.09.30,PB,22
2023.09.27,N1,1
2023.09.27,N2,7
2023.09.27,N3,46
2023.09.27,N4,47
2023.09.27,N5,63
2023.09.27,PB,7
2023.09.25,N1,10
2023.09.25,N2,12
2023.09.25,N3,22
2023.09.25,N4,36
2023.09.25,N5,50
2023.09.25,PB,4
2023.09.23,N1,1
2023.09.23,N2,12
2023.09.23,N3,20
2023.09.23,N4,33
2023.09.23,N5,66
2023.09.23,PB,21
2023.09.20,N1,16
2023.09.20,N2,27
2023.09.20,N3,59
2023.09.20,N4,62
2023.09.20,N5,63
2023.09.20,PB,23
2023.09.18,N1,2
2023.09.18,N2,21
2023.09.18,N3,26
2023.09.18,N4,40
2023.09.18,N5,42
2023.09.18,PB,9
2023.09.16,N1,8
2023.09.16,N2,11
2023.09.16,N3,19
2023.09.16,N4,24
2023.09.16,N5,46
2023.09.16,PB,5
2023.09.13,N1,22
2023.09.13,N2,30
2023.09.13,N3,37
2023.09.13,N4,44
2023.09.13,N5,45
2023.09.13,PB,18
2023.09.11,N1,9
2023.09.11,N2,25
2023.09.11,N3,27
2023.09.11,N4,53
2023.09.11,N5,66
2023.09.11,PB,5
2023.09.09,N1,11
2023.09.09,N2,19
2023.09.09,N3,29
2023.09.09,N4,63
2023.09.09,N5,68
2023.09.09,PB,25
2023.09.06,N1,9
2023.09.06,N2,14
2023.09.06,N3,20
2023.09.06,N4,23
2023.09.06,N5,63
2023.09.06,PB,1
2023.09.04,N1,1
2023.09.04,N2,26
2023.09.04,N3,32
2023.09.04,N4,46
2023.09.04,N5,51
2023.09.04,PB,13
2023.09.02,N1,25
2023.09.02,N2,38
2023.09.02,N3,42
2023.09.02,N4,66
2023.09.02,N5,67
2023.09.02,PB,19
2023.08.30,N1,4
2023.08.30,N2,13
2023.08.30,N3,35
2023.08.30,N4,61
2023.08.30,N5,69
2023.08.30,PB,4
2023.08.28,N1,4
2023.08.28,N2,6
2023.08.28,N3,25
2023.08.28,N4,55
2023.08.28,N5,68
2023.08.28,PB,26
2023.08.26,N1,20
2023.08.26,N2,22
2023.08.26,N3,26
2023.08.26,N4,28
2023.08.26,N5,63
2023.08.26,PB,5
2023.08.23,N1,25
2023.08.23,N2,30
2023.08.23,N3,32
2023.08.23,N4,33
2023.08.23,N5,55
2023.08.23,PB,20
2023.08.21,N1,3
2023.08.21,N2,4
2023.08.21,N3,12
2023.08.21,N4,22
2023.08.21,N5,28
2023.08.21,PB,16
2023.08.19,N1,1
2023.08.19,N2,25
2023.08.19,N3,27
2023.08.19,N4,38
2023.08.19,N5,62
2023.08.19,PB,13
2023.08.16,N1,9
2023.08.16,N2,11
2023.08.16,N3,17
2023.08.16,N4,19
2023.08.16,N5,55
2023.08.16,PB,1
2023.08.14,N1,32
2023.08.14,N2,34
2023.08.14,N3,37
2023.08.14,N4,39
2023.08.14,N5,47
2023.08.14,PB,3
2023.08.12,N1,19
2023.08.12,N2,21
2023.08.12,N3,37
2023.08.12,N4,50
2023.08.12,N5,65
2023.08.12,PB,26
2023.08.09,N1,10
2023.08.09,N2,15
2023.08.09,N3,21
2023.08.09,N4,67
2023.08.09,N5,69
2023.08.09,PB,3
2023.08.07,N1,6
2023.08.07,N2,13
2023.08.07,N3,20
2023.08.07,N4,35
2023.08.07,N5,54
2023.08.07,PB,22
2023.08.05,N1,18
2023.08.05,N2,42
2023.08.05,N3,44
2023.08.05,N4,62
2023.08.05,N5,65
2023.08.05,PB,23
2023.08.02,N1,23
2023.08.02,N2,24
2023.08.02,N3,33
2023.08.02,N4,51
2023.08.02,N5,64
2023.08.02,PB,5
2023.07.31,N1,2
2023.07.31,N2,11
2023.07.31,N3,48
2023.07.31,N4,58
2023.07.31,N5,65
2023.07.31,PB,13
2023.07.29,N1,10
2023.07.29,N2,25
2023.07.29,N3,27
2023.07.29,N4,34
2023.07.29,N5,38
2023.07.29,PB,2
2023.07.26,N1,3
2023.07.26,N2,16
2023.07.26,N3,40
2023.07.26,N4,48
2023.07.26,N5,60
2023.07.26,PB,14
2023.07.24,N1,3
2023.07.24,N2,4
2023.07.24,N3,12
2023.07.24,N4,28
2023.07.24,N5,49
2023.07.24,PB,25
2023.07.22,N1,25
2023.07.22,N2,27
2023.07.22,N3,36
2023.07.22,N4,37
2023.07.22,N5,63
2023.07.22,PB,7
2023.07.19,N1,7
2023.07.19,N2,10
2023.07.19,N3,11
2023.07.19,N4,13
2023.07.19,N5,24
2023.07.19,PB,24
2023.07.17,N1,5
2023.07.17,N2,8
2023.07.17,N3,9
2023.07.17,N4,17
2023.07.17,N5,41
2023.07.17,PB,21
2023.07.15,N1,2
2023.07.15,N2,9
2023.07.15,N3,43
2023.07.15,N4,55
2023.07.15,N5,57
2023.07.15,PB,18
2023.07.12,N1,23
2023.07.12,N2,35
2023.07.12,N3,45
2023.07.12,N4,66
2023.07.12,N5,67
2023.07.12,PB,20
2023.07.10,N1,2
2023.07.10,N2,24
2023.07.10,N3,34
2023.07.10,N4,53
2023.07.10,N5,58
2023.07.10,PB,13
2023.07.08,N1,7
2023.07.08,N2,23
2023.07.08,N3,24
2023.07.08,N4,32
2023.07.08,N5,43
2023.07.08,PB,18
2023.07.05,N1,17
2023.07.05,N2,24
2023.07.05,N3,48
2023.07.05,N4,62
2023.07.05,N5,68
2023.07.05,PB,23
2023.07.03,N1,15
2023.07.03,N2,26
2023.07.03,N3,31
2023.07.03,N4,38
2023.07.03,N5,61
2023.07.03,PB,3
2023.07.01,N1,4
2023.07.01,N2,17
2023.07.01,N3,35
2023.07.01,N4,49
2023.07.01,N5,61
2023.07.01,PB,8
2023.06.28,N1,19
2023.06.28,N2,25
2023.06.28,N3,34
2023.06.28,N4,57
2023.06.28,N5,68
2023.06.28,PB,4
2023.06.26,N1,6
2023.06.26,N2,28
2023.06.26,N3,39
2023.06.26,N4,43
2023.06.26,N5,54
2023.06.26,PB,12
2023.06.24,N1,2
2023.06.24,N2,38
2023.06.24,N3,44
2023.06.24,N4,50
2023.06.24,N5,62
2023.06.24,PB,19
2023.06.21,N1,5
2023.06.21,N2,11
2023.06.21,N3,33
2023.06.21,N4,35
2023.06.21,N5,63
2023.06.21,PB,14
2023.06.19,N1,36
2023.06.19,N2,39
2023.06.19,N3,52
2023.06.19,N4,57
2023.06.19,N5,69
2023.06.19,PB,1
2023.06.17,N1,2
2023.06.17,N2,12
2023.06.17,N3,45
2023.06.17,N4,61
2023.06.17,N5,64
2023.06.17,PB,26
2023.06.14,N1,3
2023.06.14,N2,20
2023.06.14,N3,36
2023.06.14,N4,42
